realtime_start,realtime_end,date,value
2025-04-10,2025-04-10,1914-12-01,15.000
2025-04-10,2025-04-10,1915-01-01,.
2025-04-10,2025-04-10,1915-02-01,.
2025-04-10,2025-04-10,1915-03-01,.
2025-04-10,2025-04-10,1915-04-01,.
2025-04-10,2025-04-10,1915-05-01,.
2025-04-10,2025-04-10,1915-06-01,.
2025-04-10,2025-04-10,1915-07-01,.
2025-04-10,2025-04-10,1915-08-01,.
2025-04-10,2025-04-10,1915-09-01,.
2025-04-10,2025-04-10,1915-10-01,.
2025-04-10,2025-04-10,1915-11-01,.
2025-04-10,2025-04-10,1915-12-01,15.600
2025-04-10,2025-04-10,1916-01-01,.
2025-04-10,2025-04-10,1916-02-01,.
2025-04-10,2025-04-10,1916-03-01,.
2025-04-10,2025-04-10,1916-04-01,.
2025-04-10,2025-04-10,1916-05-01,.
2025-04-10,2025-04-10,1916-06-01,.
2025-04-10,2025-04-10,1916-07-01,.
2025-04-10,2025-04-10,1916-08-01,.
2025-04-10,2025-04-10,1916-09-01,.
2025-04-10,2025-04-10,1916-10-01,.
2025-04-10,2025-04-10,1916-11-01,.
2025-04-10,2025-04-10,1916-12-01,17.900
2025-04-10,2025-04-10,1917-01-01,.
2025-04-10,2025-04-10,1917-02-01,.
2025-04-10,2025-04-10,1917-03-01,.
2025-04-10,2025-04-10,1917-04-01,.
2025-04-10,2025-04-10,1917-05-01,.
2025-04-10,2025-04-10,1917-06-01,.
2025-04-10,2025-04-10,1917-07-01,.
2025-04-10,2025-04-10,1917-08-01,.
2025-04-10,2025-04-10,1917-09-01,.
2025-04-10,2025-04-10,1917-10-01,.
2025-04-10,2025-04-10,1917-11-01,.
2025-04-10,2025-04-10,1917-12-01,22.200
2025-04-10,2025-04-10,1918-01-01,.
2025-04-10,2025-04-10,1918-02-01,.
2025-04-10,2025-04-10,1918-03-01,.
2025-04-10,2025-04-10,1918-04-01,.
2025-04-10,2025-04-10,1918-05-01,.
2025-04-10,2025-04-10,1918-06-01,.
